group,feature,n,missing_pct,mean,std,min,p01,median,p99,max
0,amount,1951072,32.23694461301274,294.9508564547631,355.27996002045194,1.5072747042351509,20.743989663844783,188.06264357493984,1709.3827890740918,14083.03928976118
0,asn,1951072,0.0,32998.53345750439,18479.79125981676,1000.0,1644.0,33001.0,64355.29000000004,64999.0
0,txn_count_1h,1951072,0.0,1.0545489864033721,1.1043901046464877,0.0,0.0,1.0,4.0,11.0
0,txn_count_24h,1951072,0.0,3.5496839686080266,2.3297371641055284,0.0,0.0,3.0,11.0,26.0
0,distinct_recipients_24h,1951072,0.0,1.7251905619064802,1.4808768885357348,0.0,0.0,1.0,6.0,17.0
0,account_age_days,1951072,0.0,360.3485059389318,208.12679015863486,2.449044539655452,52.48969988203817,321.05738418470145,1008.1206130260009,2495.250887624551
0,failed_logins_24h,1951072,0.0,0.1361436174574798,0.4110024012433878,0.0,0.0,0.0,2.0,7.0
0,velocity_score,1951072,0.0,0.5660404964799897,0.5451098971363509,0.0,0.0,0.4620343980911127,2.102073922104964,4.503839409490401
0,fraud_probability,1951072,0.0,0.027744836426218562,0.025619293404946387,0.0,0.0,0.023415592037581548,0.10441093896247204,0.3303049342917426
0,llm_risk_score,1951072,0.0,0.24163086597050618,0.06324437259803024,0.0,0.0957852871221916,0.2413646139403673,0.39040132345987505,0.5709907920435928
1,amount,48928,21.879087638979726,846.8600676461588,1362.516905542736,3.691569433827235,7.283094733811707,436.07180595437217,6435.2879200273155,34134.83051599815
1,asn,48928,0.0,32928.696084041854,18426.843349265153,1001.0,1682.08,32791.5,64362.73,64998.0
1,txn_count_1h,48928,0.0,1.1887467298888161,1.251352194002899,0.0,0.0,1.0,5.0,10.0
1,txn_count_24h,48928,0.0,3.8749386854153043,2.589102364909991,0.0,0.0,3.0,12.0,26.0
1,distinct_recipients_24h,48928,0.0,1.885076030085023,1.6341491256783458,0.0,0.0,2.0,7.0,12.0
1,account_age_days,48928,0.0,360.30433378241526,209.6549176367481,5.893441145610855,51.90348084752014,320.5150159605462,1012.9246571842954,2424.9371437554228
1,failed_logins_24h,48928,0.0,0.11948168737737083,0.3939553407497875,0.0,0.0,0.0,2.0,5.0
1,velocity_score,48928,0.0,0.6070995423271404,0.5743653693728267,0.0,0.0,0.5045802850123189,2.237392667021513,3.914597219560181
1,fraud_probability,48928,0.0,0.03392077891607666,0.029301529036273026,0.0,0.0,0.0296250948862535,0.12134400480575942,0.3273778723157828
1,llm_risk_score,48928,0.0,0.2465323146943473,0.0644910441715785,0.0,0.10027165338024681,0.2456146765683119,0.399548040238736,0.5321008391195763
