scenario_name,scenario_category,request_id,security_level,risk_score,conf_score,has_qkd,proposed_algorithms,fallback_algorithms,response_time,feedback_success,feedback_latency,feedback_resource_usage,timestamp,system_load,available_resources,network_latency
QKD Ultra Security - BB84,quantum,qkd-ultra-bb84-001,ultra,0.95,0.98,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.134951829910278,True,78.13,0.81,2025-10-21T07:34:06.015410,0.3,0.9,
PQC High - NTRU,post_quantum,pqc-high-ntru-007,very_high,0.8,0.83,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.151947736740112,False,105.07,0.67,2025-10-21T07:34:14.412288,0.58,0.68,
Classical High - RSA-4096,classical,classical-high-rsa-016,high,0.68,0.72,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.108867406845093,True,34.11,0.67,2025-10-21T07:34:22.766874,0.62,0.58,
PQC Very High - SABER,post_quantum,pqc-veryhigh-saber-008,very_high,0.83,0.86,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.098701238632202,True,33.38,0.65,2025-10-21T07:34:31.113111,0.52,0.72,
Network - Low Latency + QKD,network_conditions,network-lowlatency-020,very_high,0.85,0.88,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.09317421913147,True,48.23,0.82,2025-10-21T07:34:39.433772,0.35,0.85,15.0
Stress - Limited Resources,low_resources,stress-lowres-018,high,0.75,0.78,False,"['AES_192', 'AES_256_GCM']",[],6.121860027313232,False,102.41,0.53,2025-10-21T07:34:47.801515,0.92,0.2,
Classical Moderate - AES-192,classical,classical-mod-aes192-015,moderate,0.45,0.5,False,['AES_256_GCM'],[],6.123656749725342,True,19.82,0.48,2025-10-21T07:34:56.168413,0.65,0.55,
PQC Very High - DILITHIUM,post_quantum,pqc-veryhigh-dilithium-006,very_high,0.85,0.88,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.131615877151489,True,28.49,0.66,2025-10-21T07:35:04.530573,0.55,0.7,
Hybrid High - Mixed,hybrid,hybrid-high-mixed-012,high,0.72,0.76,False,['AES_256_GCM'],[],6.133771896362305,True,24.44,0.46,2025-10-21T07:35:12.910579,0.55,0.7,
PQC Ultra - KYBER,post_quantum,pqc-ultra-kyber-005,ultra,0.92,0.95,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.124165058135986,False,107.86,0.65,2025-10-21T07:35:21.290440,0.5,0.75,
QKD Very High - CV-QKD,quantum,qkd-veryhigh-cv-003,very_high,0.88,0.92,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.103808164596558,True,63.96,0.82,2025-10-21T07:35:29.651650,0.35,0.88,
QKD High - MDI-QKD,quantum,qkd-high-mdi-004,high,0.82,0.87,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.10664963722229,False,197.45,0.84,2025-10-21T07:35:38.019087,0.45,0.8,
Network - High Latency,network_conditions,network-highlatency-019,high,0.7,0.73,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.148787498474121,True,129.5,0.66,2025-10-21T07:35:46.412128,0.55,0.65,280.0
Stress - Peak Attack + QKD,stress_test,stress-peak-qkd-017,high,0.92,0.88,True,"['AES_192', 'PQC_KYBER', 'AES_256_GCM']",[],6.143664598464966,False,76.63,0.53,2025-10-21T07:35:54.805351,0.88,0.3,
Hybrid Very High - RSA+PQC,hybrid,hybrid-veryhigh-rsa-010,very_high,0.78,0.82,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.136446952819824,True,27.46,0.65,2025-10-21T07:36:03.177500,0.5,0.75,
QKD High Security - E91,quantum,qkd-high-e91-002,high,0.85,0.9,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.133640766143799,True,46.17,0.83,2025-10-21T07:36:11.553537,0.4,0.85,
PQC Ultra - FALCON,post_quantum,pqc-ultra-falcon-009,ultra,0.94,0.96,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.093165397644043,True,26.43,0.65,2025-10-21T07:36:19.889075,0.48,0.78,
Hybrid Very High - Transition,hybrid,hybrid-veryhigh-trans-013,very_high,0.81,0.84,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.145680904388428,True,46.18,0.65,2025-10-21T07:36:28.288547,0.48,0.76,
Hybrid Very High - ECC+PQC,hybrid,hybrid-veryhigh-ecc-011,very_high,0.76,0.8,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.121893644332886,True,27.41,0.65,2025-10-21T07:36:36.662273,0.52,0.73,
Classical High - AES-256,classical,classical-high-aes256-014,high,0.65,0.7,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.157262802124023,True,36.15,0.67,2025-10-21T07:36:45.052020,0.6,0.6,
Stress - Limited Resources,low_resources,stress-lowres-018,high,0.75,0.78,False,"['AES_192', 'AES_256_GCM']",[],6.157751083374023,True,20.84,0.53,2025-10-21T07:36:54.463920,0.92,0.2,
Classical High - RSA-4096,classical,classical-high-rsa-016,high,0.68,0.72,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.154752731323242,False,126.06,0.67,2025-10-21T07:37:02.877311,0.62,0.58,
